LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSZoning_C..all.,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd.Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk.Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd.Sdng,Exterior2nd_Wd.Shng,CentralAir_N,CentralAir_Y,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,MasVnrType,Electrical,LotFrontage,MasVnrArea,SalePrice
9.042040057,1.098612289,0,1.609437912,1.609437912,1.609437912,1.791759469,1.386294361,1.609437912,7,1.791759469,3,27,1.098612289,1.609437912,1.386294361,4,1.609437912,1.386294361,0.693147181,6,6.561030666,0.693147181,0,5.017279837,6.753437919,1.791759469,1.791759469,6.753437919,6.751101469,0,7.444833274,0.693147181,0,2,0.693147181,3,0.693147181,4,2.197224577,2.197224577,0,0,1.791759469,90,2,2,548,1.386294361,1.386294361,1.386294361,0,4.127134385,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5,65,196,208500
9.169622539,1.098612289,0,1.609437912,1.609437912,1.609437912,1.098612289,1.386294361,0.693147181,6,2.197224577,18,16,1.098612289,1.386294361,1.386294361,5,1.609437912,1.386294361,1.609437912,5,6.886531643,0.693147181,0,5.65248918,7.141245122,1.791759469,1.791759469,7.141245122,0,0,7.141245122,0,0.693147181,2,0,3,0.693147181,3,1.945910149,2.197224577,0.693147181,3,1.791759469,44,2,2,460,1.386294361,1.386294361,1.386294361,5.700443573,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,80,0,181500
9.328212293,1.098612289,0,1.386294361,1.609437912,1.609437912,1.791759469,1.386294361,1.609437912,7,1.791759469,84,26,1.098612289,1.609437912,1.386294361,4,1.609437912,1.386294361,1.098612289,6,6.188264123,0.693147181,0,6.075346031,6.825460036,1.791759469,1.791759469,6.825460036,6.765038977,0,7.488293515,0.693147181,0,2,0.693147181,3,0.693147181,4,1.945910149,2.197224577,0.693147181,3,1.791759469,83,2,2,608,1.386294361,1.386294361,1.386294361,0,3.761200116,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5,68,162,223500
9.16440114,1.098612289,0,1.386294361,1.609437912,1.609437912,1.609437912,1.386294361,1.609437912,7,1.791759469,45,35,1.098612289,1.386294361,1.386294361,6,1.386294361,1.609437912,0.693147181,5,5.379897354,0.693147181,0,6.293419279,6.629363253,1.791759469,1.609437912,6.869014451,6.629363253,0,7.448916103,0.693147181,0,1,0,3,0.693147181,4,2.079441542,2.197224577,0.693147181,4,0.693147181,80,1,3,642,1.386294361,1.386294361,1.386294361,0,3.583518938,5.609471795,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,60,0,140000
9.565283818,1.098612289,0,1.386294361,1.609437912,1.609437912,1.098612289,1.386294361,1.609437912,8,1.791759469,70,24,1.098612289,1.609437912,1.386294361,4,1.609437912,1.386294361,1.386294361,6,6.486160789,0.693147181,0,6.196444128,7.044032897,1.791759469,1.791759469,7.044032897,6.960347729,0,7.695757991,0.693147181,0,2,0.693147181,4,0.693147181,4,2.302585093,2.197224577,0.693147181,3,1.791759469,82,2,3,836,1.386294361,1.386294361,1.386294361,5.262690189,4.442651256,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5,84,350,250000
9.555064185,1.098612289,0,1.386294361,1.609437912,1.609437912,1.791759469,1.386294361,1.098612289,5,1.791759469,46,15,1.098612289,1.386294361,1.386294361,1,1.609437912,1.386294361,0.693147181,6,6.597145702,0.693147181,0,4.17438727,6.680854679,1.791759469,1.791759469,6.680854679,6.340359304,0,7.217443432,0.693147181,0,1,0.693147181,1,0.693147181,3,1.791759469,2.197224577,0,0,1.791759469,71,1,2,480,1.386294361,1.386294361,1.386294361,3.713572067,3.433987204,0,5.771441123,0,0,0,1.386294361,6.552507887,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,85,0,143000
9.21880445,1.098612289,0,1.609437912,1.609437912,1.609437912,1.791759469,1.386294361,0.693147181,8,1.791759469,57,31,1.098612289,1.609437912,1.386294361,4,1.791759469,1.386294361,1.386294361,6,7.222566019,0.693147181,0,5.762051383,7.430707083,1.791759469,1.791759469,7.43543802,0,0,7.43543802,0.693147181,0,2,0,3,0.693147181,4,2.079441542,2.197224577,0.693147181,4,1.791759469,91,2,2,636,1.386294361,1.386294361,1.386294361,5.545177444,4.060443011,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,75,186,307000
9.247925132,1.098612289,0,1.386294361,1.609437912,1.609437912,1.609437912,1.386294361,1.609437912,7,1.945910149,2,51,1.098612289,1.386294361,1.386294361,5,1.609437912,1.386294361,1.098612289,5,6.756932389,1.609437912,3.496507561,5.379897354,7.010311867,1.791759469,1.791759469,7.010311867,6.891625897,0,7.645397699,0.693147181,0,2,0.693147181,3,0.693147181,3,2.079441542,2.197224577,1.098612289,3,1.791759469,39,2,2,484,1.386294361,1.386294361,1.386294361,5.463831805,5.323009979,5.433722004,0,0,0,0,0,5.860786223,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,76.47790171,240,200000
8.719480761,1.098612289,0,1.609437912,1.609437912,1.609437912,1.791759469,1.386294361,1.098612289,7,1.791759469,72,0,1.098612289,1.386294361,1.386294361,6,1.386294361,1.386294361,0.693147181,1,0,0.693147181,0,6.859614904,6.859614904,1.791759469,1.609437912,6.930494766,6.624065228,0,7.481555702,0,0,2,0,2,1.098612289,3,2.197224577,2.079441542,1.098612289,3,0.693147181,35,1,2,468,1.098612289,1.386294361,1.386294361,4.510859507,0,5.327876169,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,51,0,129900
8.912069098,1.098612289,0,1.609437912,1.609437912,1.609437912,1.609437912,1.386294361,1.386294361,5,1.945910149,83,0,1.098612289,1.386294361,1.386294361,6,1.386294361,1.386294361,0.693147181,6,6.747586527,0.693147181,0,4.94875989,6.899723107,1.791759469,1.791759469,6.982862751,0,0,6.982862751,0.693147181,0,1,0,2,1.098612289,3,1.791759469,2.197224577,1.098612289,3,1.791759469,52,2,1,205,1.609437912,1.386294361,1.386294361,0,1.609437912,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,50,0,118000
