1stFlrSF,Neighborhood_Veenker,SaleType_COD,Exterior1st_AsbShng,FullBath,ExterCond,BsmtFinSF1,Exterior1st_HdBoard,ScreenPorch,CentralAir_Y,BsmtUnfSF,LotShape,Exterior1st_AsphShn,HalfBath,HouseStyle,Condition1_PosA,Neighborhood_CollgCr,Exterior1st_ImStucc,WoodDeckSF,Condition2_RRNn,Exterior1st_BrkComm,Exterior1st_MetalSd,Neighborhood_Blueste,GarageCond,BsmtQual,Neighborhood_Timber,YearBuilt,OverallCond,BldgType_Twnhs,MSZoning_RL,LandContour,Condition1_PosN,Exterior2nd_Plywood,Alley,Neighborhood_BrkSide,Neighborhood_ClearCr,Condition2_PosA,RoofStyle_Hip,MSZoning_RM,MiscFeature_Gar2,Neighborhood_NWAmes,SaleCondition_Family,BsmtFinSF2,GarageFinish,Exterior1st_Wd Sdng,SaleType_0,MSSubClass_120,SaleType_WD,Neighborhood_Gilbert,LotConfig,BldgType_Duplex,TotRmsAbvGrd,Exterior2nd_Wd Sdng,MSZoning_C (all),Condition1_Artery,RoofStyle_Gambrel,OpenPorchSF,Exterior2nd_AsphShn,Exterior2nd_CmentBd,LandSlope,Neighborhood_Mitchel,MSSubClass_180,BldgType_TwnhsE,Fireplaces,MiscVal,Neighborhood_SWISU,Condition2_Norm,Exterior1st_BrkFace,SaleType_CWD,BsmtHalfBath,Neighborhood_Blmngtn,Utilities,MiscFeature_Othr,Neighborhood_Somerst,GrLivArea,Exterior1st_0,Condition2_Artery,GarageCars,Exterior2nd_CBlock,OverallQual,MSSubClass_190,Exterior1st_CemntBd,Functional,Neighborhood_Edwards,Condition1_RRAn,MSSubClass_70,Exterior2nd_Stucco,Condition2_Feedr,LotArea,SaleCondition_Alloca,MSSubClass_60,SaleType_ConLw,GarageYrBlt,Foundation,Condition1_Norm,Exterior1st_VinylSd,Exterior1st_WdShing,MSSubClass_150,BsmtFullBath,CentralAir_N,Fence,RoofStyle_Flat,MSZoning_FV,KitchenQual,MSSubClass_80,MSSubClass_160,SaleType_ConLI,GarageQual,RoofStyle_Gable,BsmtFinType2,BsmtFinType1,Exterior2nd_BrkFace,RoofStyle_Mansard,SaleCondition_Abnorml,Exterior1st_CBlock,BldgType_2fmCon,SaleType_Con,BsmtCond,Condition2_PosN,Neighborhood_SawyerW,Exterior2nd_MetalSd,MiscFeature_Shed,Exterior2nd_Other,BldgType_1Fam,MiscFeature_TenC,YearRemodAdd,RoofMatl,Exterior2nd_ImStucc,GarageType,ExterQual,BedroomAbvGr,EnclosedPorch,2ndFlrSF,GarageArea,TotalBsmtSF,MSSubClass_30,Neighborhood_OldTown,YrSold,Exterior2nd_AsbShng,Neighborhood_Crawfor,Exterior2nd_0,MSSubClass_75,Neighborhood_IDOTRR,Neighborhood_NoRidge,Condition2_RRAe,SaleType_New,MSSubClass_40,BsmtExposure,PavedDrive,Neighborhood_MeadowV,Neighborhood_NAmes,RoofStyle_Shed,Exterior2nd_Brk Cmn,MoSold,Neighborhood_StoneBr,Condition1_RRNn,Exterior1st_Stucco,Condition2_RRAn,Neighborhood_NPkVill,HeatingQC,MSSubClass_85,MSSubClass_90,Condition1_RRNe,MSSubClass_45,FireplaceQu,Condition1_Feedr,Neighborhood_NridgHt,PoolArea,PoolQC,Neighborhood_Sawyer,MSZoning_RH,Exterior2nd_Stone,SaleCondition_Partial,Condition1_RRAe,SaleType_Oth,Exterior1st_Plywood,Street,Exterior1st_Stone,MSSubClass_50,3SsnPorch,LowQualFinSF,Exterior2nd_Wd Shng,MSZoning_0,MSSubClass_20,SaleCondition_Normal,Neighborhood_BrDale,Exterior2nd_HdBoard,Exterior2nd_VinylSd,SaleType_ConLD,SaleCondition_AdjLand,Heating,KitchenAbvGr,MasVnrType,Electrical,LotFrontage,MasVnrArea,SalePrice
6.753437919,0,0,0,2,1.386294361,6.561030666,0,0,1,5.017279837,1.609437912,0,0.693147181,1.609437912,0,1,0,0,0,0,0,0,1.386294361,1.609437912,0,3,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.791759469,0,2.197224577,0,0,0,0,4.127134385,0,0,1.386294361,0,0,0,0,0,0,1,0,0,0,0,1.609437912,0,0,7.444833274,0,0,2,0,7,0,0,2.197224577,0,0,0,0,0,9.042040057,0,1,0,90,4,1,1,0,0,0.693147181,0,0,0,0,4,0,0,0,1.386294361,1,0.693147181,6,0,0,0,0,0,0,1.386294361,0,0,0,0,0,1,0,27,1.098612289,0,1.791759469,1.609437912,3,0,6.751101469,548,6.753437919,0,0,2,0,0,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,2,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,1,0,0,1,0,0,1.791759469,0.693147181,3,5,65,196,208500
7.141245122,1,0,0,2,1.386294361,6.886531643,0,0,1,5.65248918,1.609437912,0,0,0.693147181,0,0,0,5.700443573,0,0,1,0,1.386294361,1.609437912,0,18,2.197224577,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.098612289,0,1.945910149,0,0,0,0,0,0,0,1.386294361,0,0,0,0.693147181,0,0,1,0,0,0.693147181,0,1.609437912,0,0,7.141245122,0,0,2,0,6,0,0,2.197224577,0,0,0,0,0,9.169622539,0,0,0,44,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1.386294361,1,0.693147181,5,0,0,0,0,0,0,1.386294361,0,0,1,0,0,1,0,16,1.098612289,0,1.791759469,1.386294361,3,0,0,460,7.141245122,0,0,1,0,0,0,0,0,0,0,0,0,1.609437912,1.386294361,0,0,0,0,5,0,0,0,0,0,1.791759469,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,1,1,0,0,0,0,0,1.791759469,0.693147181,1,5,80,0,181500
6.825460036,0,0,0,2,1.386294361,6.188264123,0,0,1,6.075346031,1.386294361,0,0.693147181,1.609437912,0,1,0,0,0,0,0,0,1.386294361,1.609437912,0,84,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.791759469,0,1.945910149,0,0,0,0,3.761200116,0,0,1.386294361,0,0,0,0.693147181,0,0,1,0,0,0,0,1.609437912,0,0,7.488293515,0,0,2,0,7,0,0,2.197224577,0,0,0,0,0,9.328212293,0,1,0,83,4,1,1,0,0,0.693147181,0,0,0,0,4,0,0,0,1.386294361,1,0.693147181,6,0,0,0,0,0,0,1.386294361,0,0,0,0,0,1,0,26,1.098612289,0,1.791759469,1.609437912,3,0,6.765038977,608,6.825460036,0,0,2,0,0,0,0,0,0,0,0,0,1.098612289,1.386294361,0,0,0,0,9,0,0,0,0,0,1.791759469,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,1,0,0,1,0,0,1.791759469,0.693147181,3,5,68,162,223500
6.869014451,0,0,0,1,1.386294361,5.379897354,0,0,1,6.293419279,1.386294361,0,0,1.609437912,0,0,0,0,0,0,0,0,1.386294361,1.386294361,0,45,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.609437912,0,2.079441542,0,0,0,0,3.583518938,0,0,1.386294361,0,0,0,0.693147181,0,0,1,0,0,0,0,1.609437912,0,0,7.448916103,0,0,3,0,7,0,0,2.197224577,0,0,1,0,0,9.16440114,0,0,0,80,6,1,0,0,0,0.693147181,0,0,0,0,4,0,0,0,1.386294361,1,0.693147181,5,0,0,1,0,0,0,1.609437912,0,0,0,0,0,1,0,35,1.098612289,0,0.693147181,1.386294361,3,5.609471795,6.629363253,642,6.629363253,0,0,0,0,1,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,2,0,0,0,0,0,1.609437912,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,1,0,0,0,0,0,0,0,0,1.791759469,0.693147181,1,5,60,0,140000
7.044032897,0,0,0,2,1.386294361,6.486160789,0,0,1,6.196444128,1.386294361,0,0.693147181,1.609437912,0,0,0,5.262690189,0,0,0,0,1.386294361,1.609437912,0,70,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.098612289,0,2.302585093,0,0,0,0,4.442651256,0,0,1.386294361,0,0,0,0.693147181,0,0,1,0,0,0,0,1.609437912,0,0,7.695757991,0,0,3,0,8,0,0,2.197224577,0,0,0,0,0,9.565283818,0,1,0,82,4,1,1,0,0,0.693147181,0,0,0,0,4,0,0,0,1.386294361,1,0.693147181,6,0,0,0,0,0,0,1.386294361,0,0,0,0,0,1,0,24,1.098612289,0,1.791759469,1.609437912,4,0,6.960347729,836,7.044032897,0,0,2,0,0,0,0,0,1,0,0,0,1.386294361,1.386294361,0,0,0,0,12,0,0,0,0,0,1.791759469,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,1,0,0,1,0,0,1.791759469,0.693147181,3,5,84,350,250000
6.680854679,0,0,0,1,1.386294361,6.597145702,0,0,1,4.17438727,1.386294361,0,0.693147181,1.098612289,0,0,0,3.713572067,0,0,0,0,1.386294361,1.609437912,0,46,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.791759469,0,1.791759469,0,0,0,0,3.433987204,0,0,1.386294361,1,0,0,0,6.552507887,0,1,0,0,0,0,1.609437912,0,0,7.217443432,0,0,2,0,5,0,0,2.197224577,0,0,0,0,0,9.555064185,0,0,0,71,1,1,1,0,0,0.693147181,0,1.386294361,0,0,3,0,0,0,1.386294361,1,0.693147181,6,0,0,0,0,0,0,1.386294361,0,0,0,1,0,1,0,15,1.098612289,0,1.791759469,1.386294361,1,0,6.340359304,480,6.680854679,0,0,3,0,0,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,10,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,1,5.771441123,0,0,0,0,1,0,0,1,0,0,1.791759469,0.693147181,1,5,85,0,143000
7.43543802,0,0,0,2,1.386294361,7.222566019,0,0,1,5.762051383,1.609437912,0,0,0.693147181,0,0,0,5.545177444,0,0,0,0,1.386294361,1.791759469,0,57,1.791759469,0,1,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.791759469,0,2.079441542,0,0,0,0,4.060443011,0,0,1.386294361,0,0,0,0.693147181,0,0,1,0,0,0,0,1.609437912,0,1,7.43543802,0,0,2,0,8,0,0,2.197224577,0,0,0,0,0,9.21880445,0,0,0,91,4,1,1,0,0,0.693147181,0,0,0,0,4,0,0,0,1.386294361,1,0.693147181,6,0,0,0,0,0,0,1.386294361,0,0,0,0,0,1,0,31,1.098612289,0,1.791759469,1.609437912,3,0,0,636,7.430707083,0,0,1,0,0,0,0,0,0,0,0,0,1.386294361,1.386294361,0,0,0,0,8,0,0,0,0,0,1.791759469,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,1,1,0,0,1,0,0,1.791759469,0.693147181,5,5,75,186,307000
7.010311867,0,0,0,2,1.386294361,6.756932389,1,0,1,5.379897354,1.386294361,0,0.693147181,1.609437912,0,0,0,5.463831805,0,0,0,0,1.386294361,1.609437912,0,2,1.945910149,0,1,1.609437912,1,0,0,0,0,0,0,0,0,1,0,3.496507561,2,0,0,0,1,0,1.609437912,0,2.079441542,0,0,0,0,5.323009979,0,0,1.386294361,0,0,0,1.098612289,5.860786223,0,1,0,0,0,0,1.609437912,0,0,7.645397699,0,0,2,0,7,0,0,2.197224577,0,0,0,0,0,9.247925132,0,1,0,39,5,0,0,0,0,0.693147181,0,0,0,0,3,0,0,0,1.386294361,1,1.609437912,5,0,0,0,0,0,0,1.386294361,0,0,0,1,0,1,0,51,1.098612289,0,1.791759469,1.386294361,3,5.433722004,6.891625897,484,7.010311867,0,0,3,0,0,0,0,0,0,0,0,0,1.098612289,1.386294361,0,0,0,0,11,0,0,0,0,0,1.791759469,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,1,0,1,0,0,0,1.791759469,0.693147181,5,5,76.47790171,240,200000
6.930494766,0,0,0,2,1.386294361,0,0,0,1,6.859614904,1.609437912,0,0,1.098612289,0,0,0,4.510859507,0,0,0,0,1.386294361,1.386294361,0,72,1.791759469,0,0,1.609437912,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.791759469,0,2.197224577,0,0,1,0,0,0,0,1.386294361,0,0,0,1.098612289,0,0,1,1,0,0,0,1.609437912,0,0,7.481555702,0,0,2,0,7,0,0,2.079441542,0,0,0,0,0,8.719480761,0,0,0,35,6,0,0,0,0,0,0,0,0,0,3,0,0,0,1.098612289,1,0.693147181,1,0,0,1,0,0,0,1.386294361,0,0,0,0,0,1,0,0,1.098612289,0,0.693147181,1.386294361,2,5.327876169,6.624065228,468,6.859614904,0,1,2,0,0,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,4,0,0,0,0,0,1.609437912,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,1,0,0,1,0,0,0,0,0,0,0,0,1.791759469,1.098612289,1,2,51,0,129900
6.982862751,0,0,0,1,1.386294361,6.747586527,0,0,1,4.94875989,1.609437912,0,0,1.386294361,0,0,0,0,0,0,1,0,1.386294361,1.386294361,0,83,1.945910149,0,1,1.609437912,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.609437912,0,1.791759469,0,0,1,0,1.609437912,0,0,1.386294361,0,0,0,1.098612289,0,0,0,0,0,0,0,1.609437912,0,0,6.982862751,0,1,1,0,5,1,0,2.197224577,0,0,0,0,0,8.912069098,0,0,0,52,6,0,0,0,0,0.693147181,0,0,0,0,3,0,0,0,1.609437912,1,0.693147181,6,0,0,0,0,1,0,1.386294361,0,0,1,0,0,0,0,0,1.098612289,0,1.791759469,1.386294361,2,0,0,205,6.899723107,0,0,2,0,0,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,1,0,0,0,0,0,1.791759469,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,1,0,0,0,0,0,1.791759469,1.098612289,1,5,50,0,118000
